Round,anne.results...SampleIDs,Pred,True
15,TCGA-26-5134-01,cluster2,cluster2
15,TCGA-27-2523-01,cluster1,cluster1
15,TCGA-06-2564-01,cluster2,cluster1
16,TCGA-28-5207-01,cluster3,cluster1
16,TCGA-14-1825-01,cluster2,cluster2
16,TCGA-41-2571-01,cluster2,cluster2
16,TCGA-27-2519-01,cluster3,cluster3
16,TCGA-32-2615-01,cluster1,cluster4
17,TCGA-28-5208-01,cluster2,cluster1
17,TCGA-19-2620-01,cluster2,cluster5
17,TCGA-16-0846-01,cluster3,cluster3
17,TCGA-12-3650-01,cluster1,cluster1
17,TCGA-32-2634-01,cluster2,cluster3
18,TCGA-06-5411-01,cluster5,cluster5
18,TCGA-28-5207-01,cluster3,cluster1
18,TCGA-06-0644-01,cluster2,cluster2
18,TCGA-02-2486-01,cluster3,cluster3
18,TCGA-26-5134-01,cluster2,cluster2
19,TCGA-28-5213-01,cluster2,cluster1
19,TCGA-06-0644-01,cluster2,cluster2
19,TCGA-27-1830-01,cluster2,cluster2
19,TCGA-28-2514-01,cluster2,cluster5
19,TCGA-12-0618-01,cluster2,cluster2
20,TCGA-28-5220-01,cluster3,cluster5
20,TCGA-12-0618-01,cluster2,cluster2
20,TCGA-27-1831-01,cluster1,cluster1
20,TCGA-06-0686-01,cluster2,cluster2
20,TCGA-12-0821-01,cluster2,cluster4
21,TCGA-06-0646-01,cluster2,cluster2
21,TCGA-12-0619-01,cluster2,cluster2
21,TCGA-12-3652-01,cluster1,cluster1
21,TCGA-19-1787-01,cluster2,cluster3
21,TCGA-19-2620-01,cluster2,cluster5
22,TCGA-27-2523-01,cluster1,cluster1
22,TCGA-27-1830-01,cluster2,cluster2
22,TCGA-12-0821-01,cluster2,cluster4
22,TCGA-41-2571-01,cluster2,cluster2
22,TCGA-32-2615-01,cluster1,cluster4
23,TCGA-02-2486-01,cluster3,cluster3
23,TCGA-32-2632-01,cluster5,cluster3
23,TCGA-19-1787-01,cluster2,cluster3
23,TCGA-32-1970-01,cluster3,cluster3
23,TCGA-14-1825-01,cluster2,cluster2
24,TCGA-27-2523-01,cluster1,cluster1
24,TCGA-27-1831-01,cluster3,cluster1
24,TCGA-26-5132-01,cluster2,cluster3
24,TCGA-19-2624-01,cluster1,cluster1
24,TCGA-12-0821-01,cluster2,cluster4
25,TCGA-32-2638-01,cluster1,cluster1
25,TCGA-12-0619-01,cluster2,cluster2
25,TCGA-41-2571-01,cluster2,cluster2
25,TCGA-06-0747-01,cluster2,cluster4
25,TCGA-32-2615-01,cluster1,cluster4
26,TCGA-28-1747-01,cluster3,cluster3
26,TCGA-32-2638-01,cluster1,cluster1
26,TCGA-06-0882-01,cluster5,cluster5
26,TCGA-27-1837-01,cluster1,cluster1
26,TCGA-06-2567-01,cluster3,cluster3
27,TCGA-32-2638-01,cluster1,cluster1
27,TCGA-06-0686-01,cluster2,cluster2
27,TCGA-12-3650-01,cluster1,cluster1
27,TCGA-27-1834-01,cluster3,cluster3
27,TCGA-14-1825-01,cluster2,cluster2
28,TCGA-41-2571-01,cluster2,cluster2
28,TCGA-14-1829-01,cluster2,cluster1
28,TCGA-06-2559-01,cluster1,cluster1
28,TCGA-14-1825-01,cluster2,cluster2
28,TCGA-06-0132-01,cluster2,cluster5
29,TCGA-06-0187-01,cluster1,cluster4
29,TCGA-32-2634-01,cluster2,cluster3
29,TCGA-19-2629-01,cluster2,cluster3
29,TCGA-32-5222-01,cluster1,cluster2
29,TCGA-06-0686-01,cluster2,cluster2
30,TCGA-27-2519-01,cluster3,cluster3
30,TCGA-02-0047-01,cluster2,cluster5
30,TCGA-06-0646-01,cluster2,cluster2
30,TCGA-41-2572-01,cluster1,cluster1
30,TCGA-27-1837-01,cluster1,cluster1
31,TCGA-27-1831-01,cluster3,cluster1
31,TCGA-06-0211-01,cluster1,cluster2
31,TCGA-28-5220-01,cluster3,cluster5
31,TCGA-06-0156-01,cluster2,cluster2
31,TCGA-08-0386-01,cluster2,cluster3
32,TCGA-06-0187-01,cluster2,cluster4
32,TCGA-06-0686-01,cluster2,cluster2
32,TCGA-27-2523-01,cluster1,cluster1
32,TCGA-28-1753-01,cluster1,cluster1
32,TCGA-06-0878-01,cluster2,cluster4
33,TCGA-06-0130-01,cluster2,cluster2
33,TCGA-06-0211-01,cluster1,cluster2
33,TCGA-06-0156-01,cluster2,cluster2
33,TCGA-27-2519-01,cluster2,cluster3
33,TCGA-41-2572-01,cluster1,cluster1
34,TCGA-06-0156-01,cluster2,cluster2
34,TCGA-27-2523-01,cluster1,cluster1
34,TCGA-06-0219-01,cluster3,cluster5
34,TCGA-06-0878-01,cluster2,cluster4
34,TCGA-26-1442-01,cluster3,cluster5
35,TCGA-27-1837-01,cluster1,cluster1
35,TCGA-06-0190-01,cluster2,cluster2
35,TCGA-02-0047-01,cluster2,cluster5
35,TCGA-06-0187-01,cluster2,cluster4
35,TCGA-16-0846-01,cluster3,cluster3
36,TCGA-28-5218-01,cluster2,cluster1
36,TCGA-08-0386-01,cluster2,cluster3
36,TCGA-28-5207-01,cluster5,cluster1
36,TCGA-19-2629-01,cluster2,cluster3
36,TCGA-41-2571-01,cluster2,cluster2
37,TCGA-06-0190-01,cluster2,cluster2
37,TCGA-02-0047-01,cluster2,cluster5
37,TCGA-32-2632-01,cluster5,cluster3
37,TCGA-27-2519-01,cluster2,cluster3
37,TCGA-06-5415-01,cluster2,cluster5
38,TCGA-32-1980-01,cluster5,cluster5
38,TCGA-32-2632-01,cluster2,cluster3
38,TCGA-41-2572-01,cluster1,cluster1
38,TCGA-27-1834-01,cluster3,cluster3
38,TCGA-28-1747-01,cluster3,cluster3
39,TCGA-02-2486-01,cluster3,cluster3
39,TCGA-27-1831-01,cluster1,cluster1
39,TCGA-06-5415-01,cluster5,cluster5
39,TCGA-14-1829-01,cluster2,cluster1
39,TCGA-08-0386-01,cluster2,cluster3
40,TCGA-06-5859-01,cluster3,cluster3
40,TCGA-06-0644-01,cluster2,cluster2
40,TCGA-27-1831-01,cluster1,cluster1
40,TCGA-28-5208-01,cluster2,cluster1
40,TCGA-06-2557-01,cluster2,cluster3
41,TCGA-32-2632-01,cluster5,cluster3
41,TCGA-41-2572-01,cluster1,cluster1
